Date,Base_Currency,Target_Currency,Rate
2024-01-01,USD,AUD,82.5
2024-01-02,USD,AUD,82.53448275862068
2024-01-03,USD,AUD,82.56896551724138
2024-01-04,USD,AUD,82.60344827586206
2024-01-05,USD,AUD,82.63793103448276
2024-01-06,USD,AUD,82.67241379310344
2024-01-07,USD,AUD,82.70689655172414
2024-01-08,USD,AUD,82.74137931034483
2024-01-09,USD,AUD,82.77586206896552
2024-01-10,USD,AUD,82.8103448275862
2024-01-11,USD,AUD,82.84482758620689
2024-01-12,USD,AUD,82.87931034482759
2024-01-13,USD,AUD,82.91379310344827
2024-01-14,USD,AUD,82.94827586206897
2024-01-15,USD,AUD,82.98275862068965
2024-01-16,USD,AUD,83.01724137931035
2024-01-17,USD,AUD,83.05172413793103
2024-01-18,USD,AUD,83.08620689655173
2024-01-19,USD,AUD,83.12068965517241
2024-01-20,USD,AUD,83.15517241379311
2024-01-21,USD,AUD,83.1896551724138
2024-01-22,USD,AUD,83.22413793103448
2024-01-23,USD,AUD,83.25862068965517
2024-01-24,USD,AUD,83.29310344827586
2024-01-25,USD,AUD,83.32758620689656
2024-01-26,USD,AUD,83.36206896551724
2024-01-27,USD,AUD,83.39655172413794
2024-01-28,USD,AUD,83.43103448275862
2024-01-29,USD,AUD,83.46551724137932
2024-01-30,USD,AUD,83.5
